province,year,health_index,living_cost_mean,living_cost_stddev,polution,crime_rate,purchasing_power
Aceh,2020,67.98,105.75,0.82,75.61,149,5666.69
Aceh,2021,69.31,108.34,1.64,75.54,190,5378.32
Aceh,2022,72.59,114.04,2.01,78.29,125,5558.03
Bali,2020,89.68,104.68,0.24,71.99,59,12905.69
Bali,2021,91.30,106.68,1.31,70.7,144,9059.5
Bali,2022,90.54,111.54,0.88,70.89,55,8388.71
Banten,2020,78.36,105.84,0.55,59.37,63,17638.16
Banten,2021,80.27,107.67,1.5,64.14,42,15747.04
Banten,2022,82.79,112.79,2.44,63.41,27,17021.86
Bengkulu,2020,79.12,103.74,0,69.92,172,1966.9
Bengkulu,2021,78.83,105.62,0,71.46,179,1635.7
Bengkulu,2022,81.41,110.77,0,70.82,177,1643.67
DI Yogyakarta,2020,84.64,105.4,0,66.65,200,4743.59
DI Yogyakarta,2021,87.54,107.2,0,65.66,285,4112.94
DI Yogyakarta,2022,84.29,112.52,0,65.96,123,4563.78
DKI Jakarta,2020,76.83,105.36,0,52.98,105,57561.16
DKI Jakarta,2021,79.52,106.65,0,54.43,307,51891.12
DKI Jakarta,2022,76.83,109.99,0,54.65,277,55661.19
Gorontalo,2020,85.40,103.86,0,75.31,214,1163.03
Gorontalo,2021,86.87,106.3,0,77.32,211,1097.36
Gorontalo,2022,82.44,110.24,0,79.79,208,1150.8
Jambi,2020,73.12,104.47,0.07,70.87,134,3066.68
Jambi,2021,73.41,106.49,0.24,69.04,149,2910.07
Jambi,2022,73.41,112.59,0.15,70.32,104,3248.49
Jawa Barat,2020,79.10,104.87,0.77,59.4,29,50219.92
Jawa Barat,2021,79.49,106.54,1.81,62.68,60,49585.57
Jawa Barat,2022,82.03,111.15,1.86,64.66,15,48140.18
Jawa Tengah,2020,84.42,104.08,0.31,67.62,31,30866.98
Jawa Tengah,2021,85.81,105.68,0.59,66.27,82,29538.3
Jawa Tengah,2022,86.15,111.07,0.64,66.85,26,32699.21
Jawa Timur,2020,79.36,103.97,0.27,67.07,44,39782.73
Jawa Timur,2021,81.88,105.68,0.74,68.29,127,37044.34
Jawa Timur,2022,83.37,110.62,1.2,69.92,48,39320.25
Kalimantan Barat,2020,72.90,107.12,1.8,70.07,76,4601.06
Kalimantan Barat,2021,74.94,108.94,3.47,72.9,73,4804.11
Kalimantan Barat,2022,77.59,115.06,4.99,71.9,80,4601.06
Kalimantan Selatan,2020,86.70,105.62,0.2,68.43,196,5876.59
Kalimantan Selatan,2021,87.16,107.84,0.21,71.03,122,5689.57
Kalimantan Selatan,2022,83.31,113,0.5,71.97,118,5997.48
Kalimantan Tengah,2020,77.82,104.76,0.03,72.74,62,3527.94
Kalimantan Tengah,2021,79.63,106.9,0.58,75.11,118,3295.57
